Last name;First name;Address;Postal code;Post office;Email
Hiiri;Mikki;Loukkukuja3;21010;Ankkalinna;mikki@outlook.com
Ankka;Aku;Leinikkikatu 3;21210;Ankkalinna;aku@ankka.com
Ankka;Taavi;kukkakuja 4;12345;Karhuvaara;tiivitaavi@taavi.fi
Vuorenen;Hanna;siltakuja 10;23098;Vantaa;hanna_vuo@gmail.com
Vuorenen;Timo;siltakuja 10;23098;Vantaa;timo_vuo@gmail.com
Lahtinen;Pekka;Matinpuronkuja 4;02230;Espoo;lahtinen_pekka@gmail.com
Lahtinen;Mari;Matinpuronkuja 4;02230;Espoo;lahtinen_mari@gmail.com
Kettunen;Anu;Merenkatu 56;02250;Espoo;kettunen_anu@gmail.com
Keltainen;Jukka;kaliokatu 87;02350;Espoo;keltainen@gmail.com
Toinen;Pekka;kivenkatu 42;02350;Espoo;
